Division,numFights,SLpM,SApM,SS_for_pct,SS_def_pct,StrLpM,StrApM,Str_for_pct,Str_def_pct,KDpM_for,KDpM_against,TDLpM_for,TDLpM_against,TDApM_for,TDApM_against,TD_for_pct,TD_def_pct,RpM_for,RpM_against,Ctrl_pct_for,Ctrl_pct_against
Bantamweight,4.446511627906977,3.210448720084942,3.531505572819827,0.42399222560501426,0.5527882608308039,4.743435256620857,5.118224882462266,0.5019968186619299,0.4766415627436195,0.018986774126546674,0.027193502245910623,0.09151403174184304,0.1202127678679451,0.26400954624442946,0.28845722348001995,0.3609255230564459,0.5835378979037867,0.01780921181791564,0.016088309033147768,0.17244988658634178,0.20350597035912737
Catch Weight,1.1219512195121952,3.6148711609599293,3.6121560263739907,0.4573146391956964,0.5425713846707606,5.305972523161007,5.294359117366141,0.5432691347402605,0.4576484680651356,0.0059153132197383145,0.005872376641174295,0.13574567514861224,0.13750516965050516,0.26380521409734586,0.2653096496856819,0.6306102900930487,0.34828954570333887,0.0155911123697594,0.0155911123697594,0.2253371761516106,0.2252717599198228
Featherweight,4.166666666666667,3.4404818972080884,3.7134498300416805,0.4410327562133333,0.5460043034523591,4.966080532946272,5.392877053249633,0.5182850527856295,0.4701206342266685,0.01615495812313907,0.019487850498503982,0.10335887009175462,0.11207091052145593,0.2932161194716886,0.2941370832721042,0.3688153263998202,0.5957146990138458,0.015487216894415718,0.015832743039854064,0.18838280583729317,0.20904877612438488
Flyweight,4.366071428571429,3.0659153076242096,3.4600353697391193,0.409427903279412,0.5682937537063745,4.313452266080245,5.005750491355065,0.4848811050204063,0.4938367203364197,0.01419147831980295,0.02238733577564469,0.10573587563212816,0.12789807624854077,0.29864398963698535,0.32082286555602296,0.35866911220049796,0.5895155671110799,0.018914543841420807,0.019112165123286534,0.15879877022264693,0.20100955882117363
Heavyweight,5.926136363636363,2.9601438091330405,3.283775615969769,0.47506701769372256,0.5068325333941456,4.955796504195774,5.464881398927616,0.5816954629215957,0.40260859614838207,0.023384843535781654,0.03148463356778819,0.08397754739970197,0.09970672914443002,0.21413897770937967,0.22846337519970258,0.3786032814169723,0.5747168377452921,0.009871319243768882,0.008913157408268082,0.21420352064063064,0.25440633929569506
Light Heavyweight,5.502463054187192,3.1294201419586702,3.464303146117613,0.469361120654665,0.5073706924922765,4.9449516837407295,5.6135904195319375,0.565809323712043,0.41381201696619113,0.026418602089249548,0.029731773065883878,0.09639968051054576,0.11267798789932156,0.2699335013675111,0.2723390815805704,0.3497498325246563,0.5863086619285516,0.00783731689637441,0.009042110640293506,0.20033940793413121,0.2390950383356548
Lightweight,5.3192019950124685,2.9951286974601903,3.2582012377355944,0.4180654952914719,0.5553484138750157,4.683664402185831,5.167294200970108,0.5206115967056588,0.45616956412319426,0.015355165652324632,0.01910555827588265,0.09939387360156432,0.12450154687179835,0.2935299430219277,0.30960491696691755,0.3671819246463195,0.5770379498569053,0.015337815951188329,0.014996425371164145,0.20171278976831047,0.2549191518689257
Middleweight,5.18360655737705,2.771771757799639,3.084310331173249,0.4435221672920613,0.533880627957693,4.500393135850519,5.140221099827468,0.5472810375347393,0.429208889031481,0.021744275826973698,0.02546115936100695,0.09768646725537895,0.10995740810481959,0.2708061263078692,0.2840047100717875,0.3856896961836808,0.5949167499557492,0.013961724830784885,0.014489795284679047,0.2121068472714899,0.2437411708461667
Welterweight,5.366666666666666,2.9334837243891787,3.293913243461447,0.4360423350263743,0.5380117766523518,4.751906053478153,5.475487699274846,0.5451417913358692,0.42938062460436316,0.01857638982414937,0.024744020814021963,0.09879233019370288,0.12332694196411534,0.27857700753913994,0.2982094880498955,0.3912821396150888,0.5629990497031782,0.015201261657350121,0.013951811503846724,0.21236338211943442,0.2607939811516265
Women's Bantamweight,4.191780821917808,3.8575842270753853,4.125221502785675,0.44342252700126533,0.5350227055469625,5.9558124225775115,6.440526990935306,0.534667549588156,0.4487429556256308,0.007134432881560133,0.004979593373269248,0.08105670858253494,0.07584428778783484,0.23663841060226837,0.20681617818112155,0.32423528070934626,0.5995048181546335,0.012531816454484451,0.01462605785662876,0.2095462283072884,0.236940774481424
Women's Featherweight,2.5,3.8945776052712517,3.8403393868630986,0.4501309825855888,0.5591771483121459,5.171522248740034,5.2802884219169774,0.5177862255588885,0.49232016730436284,0.010336036024370094,0.014450430474050202,0.046083449077059975,0.02964829223370695,0.21469291896516296,0.21646591463786732,0.19703056661260995,0.8927884615384616,0.005759041695461875,0.008661212158579916,0.15197830408169657,0.16893522111627224
Women's Flyweight,3.536231884057971,4.123681009962875,4.092560140030394,0.44684710429022184,0.5515278621339379,6.0572092424832755,6.022267883149252,0.5262149545435352,0.4713634584755478,0.0068887202277520725,0.007854694666982567,0.08355096563624256,0.09077197317355828,0.19476761376267862,0.2045727074936763,0.46034975153632607,0.5483819987605719,0.013714545889423783,0.014105187410804913,0.19170992123411984,0.20357381579140627
Women's Strawweight,4.681818181818182,3.8302825785382892,4.052648742839346,0.45474755303654696,0.5315115500360837,5.839027942253266,6.1641301595797,0.5415410023429286,0.4436528751008417,0.005932606562074336,0.005313170238898149,0.08008383138976898,0.0888547534272519,0.23444729745179374,0.2229774947257855,0.3643598523679566,0.5733195287250911,0.016041448411516133,0.01458224079454336,0.21042831939509477,0.22366425620826044
