Division,numFights,SLpM,SApM,SS_for_pct,SS_def_pct,StrLpM,StrApM,Str_for_pct,Str_def_pct,KDpM_for,KDpM_against,TDLpM_for,TDLpM_against,TDApM_for,TDApM_against,TD_for_pct,TD_def_pct,RpM_for,RpM_against,Ctrl_pct_for,Ctrl_pct_against
Bantamweight,3.0,3.126843657817109,3.3631108775617444,0.41355599214145383,0.564516129032258,4.6406338426711935,4.866666666666666,0.49917898193760263,0.48863636363636365,0.0,0.009017132551848512,0.06666666666666667,0.09339559706470982,0.2,0.25510204081632654,0.3380952380952381,0.6112637362637363,0.0,0.0,0.13733333333333334,0.16777373044782515
Catch Weight,1.0,3.066666666666667,3.066666666666667,0.46853146853146854,0.5314685314685315,4.6999276934201015,4.8,0.5419161676646707,0.48550724637681164,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.33333333333333337,0.0,0.0,0.1320754716981132,0.1320754716981132
Featherweight,3.0,3.287723521320495,3.3132560210199906,0.43543494004989136,0.5540746940056491,4.795437262357414,5.004336513443191,0.5193845044178638,0.48367406713139244,0.0,0.0,0.06666666666666667,0.09588159588159588,0.23698828883432183,0.25647790647790647,0.3333333333333333,0.6,0.0,0.0,0.15706999782715414,0.18903154573998387
Flyweight,3.0,3.0458574181117535,3.248461809773876,0.40930551325007614,0.5703273063491852,4.3135646687697164,4.663420920150454,0.48751546072974644,0.48998160294352905,0.0,0.0,0.06971917028294233,0.09564978729243859,0.26666666666666666,0.27045464041126555,0.35,0.6076923076923078,0.0,0.0,0.13333333333333333,0.15712337527140777
Heavyweight,4.0,2.825188389830626,3.1272171305749294,0.472419028340081,0.5103525013352324,4.8212226240367295,5.025622254758419,0.575930639349757,0.40301298827566134,0.0,0.01796770245863723,0.04788252087975923,0.06703741152679474,0.15780071512159569,0.19289972776315617,0.34549071618037136,0.6,0.0,0.0,0.15935856919518865,0.22317563380513405
Light Heavyweight,4.0,3.066666666666667,3.2376578645235363,0.46153846153846156,0.5114942528735632,4.718417047184171,5.09274873524452,0.5567010309278351,0.4157303370786517,0.0,0.019880715705765408,0.0651890482398957,0.08244023083264633,0.1937984496124031,0.22401433691756273,0.336734693877551,0.5941176470588235,0.0,0.0,0.15376646440728134,0.20718538702189931
Lightweight,3.0,2.8445701713028444,3.0275932549821154,0.4125,0.5603448275862069,4.4272021907804655,4.804804804804805,0.5185882352941177,0.46262188515709646,0.0,0.0,0.07087172218284904,0.0997423323082038,0.23333333333333334,0.26666666666666666,0.36363636363636365,0.6085858585858586,0.0,0.0,0.1768888888888889,0.22269896193771627
Middleweight,4.0,2.5959978366684693,2.916666666666667,0.449438202247191,0.5407725321888412,4.348516108554198,4.733333333333333,0.5518453427065027,0.44897959183673475,0.0,0.00935891436593355,0.07024938531787846,0.08823529411764706,0.23333333333333334,0.255863539445629,0.36602870813397126,0.6274509803921569,0.0,0.0,0.18590206557850644,0.21218274111675126
Welterweight,4.0,2.817448323841753,3.0237952209577337,0.4319298952457695,0.5498267898383372,4.6,5.032391992276075,0.5433054233239857,0.4364950105992451,0.0,0.011242593393754923,0.07466868124822283,0.1013556722450596,0.22489378501990376,0.26666666666666666,0.375,0.6,0.0,0.0,0.17207204127147513,0.22477039897423404
Women's Bantamweight,3.0,3.523316062176166,3.8333333333333335,0.45490981963927857,0.541860465116279,5.5940926381740885,5.966666666666667,0.5494505494505495,0.45537525354969577,0.0,0.0,0.05425935973955508,0.06814310051107325,0.2320675105485232,0.2,0.2857142857142857,0.6153846153846154,0.0,0.0,0.18744971842316976,0.2210549843540456
Women's Featherweight,1.5,3.5999999999999996,3.4230769230769234,0.4546955403087478,0.5775240384615384,5.161472005316497,5.238395082239575,0.5548141377209019,0.48000886524822695,0.0,0.0,0.025020628175275797,0.0,0.2562172594430659,0.21395248844458775,0.17027863777089783,1.0,0.0,0.0,0.15818057665594643,0.17660661168458838
Women's Flyweight,3.0,3.983685857915204,4.0,0.44550669216061184,0.5475728155339805,5.839231547017189,5.837588865525182,0.4948586118251928,0.4688,0.0,0.0,0.06785411365564037,0.06666666666666667,0.16515276630883569,0.19065776930409914,0.5,0.5714285714285714,0.0,0.0,0.16140203589043972,0.156
Women's Strawweight,4.0,3.6537409159635175,3.762091503267974,0.4485904857790083,0.5368591768819243,5.5631832793710565,6.0461262881447855,0.5477272727272727,0.4456182795698925,0.0,0.0,0.06474036850921272,0.07765327441560896,0.2320279295689132,0.2,0.3333333333333333,0.6153846153846154,0.0,0.0,0.1868053003858166,0.20562923813322698
